,duration,gross,num_voted_users,cast_total_facebook_likes,budget,imdb_score
0,178.0,760505847.0,886204,4834,237000000.0,7-9
1,169.0,309404152.0,471220,48350,300000000.0,7-9
2,148.0,200074175.0,275868,11700,245000000.0,4-6
3,164.0,448130642.0,1144337,106759,250000000.0,7-9
5,132.0,73058679.0,212204,1873,263700000.0,4-6
6,156.0,336530303.0,383056,46055,258000000.0,7-9
7,100.0,200807262.0,294810,2036,260000000.0,7-9
8,141.0,458991599.0,462669,92000,250000000.0,7-9
9,153.0,301956980.0,321795,58753,250000000.0,4-6
10,183.0,330249062.0,371639,24450,250000000.0,4-6
11,169.0,200069408.0,240396,29991,209000000.0,4-6
12,106.0,168368427.0,330784,2023,200000000.0,7-9
13,151.0,423032628.0,522040,48486,225000000.0,4-6
14,150.0,89289910.0,181792,45757,215000000.0,7-9
15,143.0,291021565.0,548573,20495,225000000.0,4-6
16,150.0,141614023.0,149922,22697,225000000.0,7-9
17,173.0,623279547.0,995415,87697,220000000.0,4-6
18,136.0,241063875.0,370704,54083,250000000.0,4-6
19,106.0,179020854.0,268154,12572,225000000.0,7-9
20,164.0,255108370.0,354228,9152,250000000.0,7-9
21,153.0,262030663.0,451803,28489,230000000.0,4-6
22,156.0,105219735.0,211765,3244,200000000.0,7-9
23,186.0,258355354.0,483540,9152,225000000.0,4-6
24,113.0,70083519.0,149019,24106,180000000.0,7-9
25,201.0,218051260.0,316018,7123,207000000.0,7-9
26,194.0,658672302.0,793059,45223,200000000.0,7-9
27,147.0,407197282.0,272670,64798,250000000.0,4-6
28,131.0,65173160.0,202382,26679,209000000.0,7-9
29,124.0,652177271.0,418214,8458,150000000.0,7-9
30,143.0,304360277.0,522030,2039,200000000.0,7-9
31,135.0,373377893.0,411164,43388,200000000.0,7-9
32,195.0,408992272.0,557489,30426,200000000.0,4-6
33,108.0,334185206.0,306320,79957,200000000.0,4-6
34,104.0,234360014.0,383427,21714,210000000.0,7-9
35,104.0,268488329.0,235025,14863,200000000.0,4-6
36,150.0,402076689.0,323207,3218,200000000.0,4-6
37,165.0,245428137.0,242420,3988,210000000.0,4-6
38,130.0,234903076.0,175409,73441,215000000.0,4-6
39,142.0,202853933.0,321227,28631,200000000.0,4-6
40,125.0,172051787.0,264183,25550,170000000.0,4-6
41,106.0,191450875.0,101178,4482,200000000.0,4-6
42,123.0,116593191.0,223393,17657,200000000.0,7-9
43,103.0,414984497.0,544884,19085,200000000.0,4-6
44,118.0,125320003.0,286095,27468,200000000.0,7-9
45,140.0,350034110.0,278232,79150,190000000.0,7-9
46,123.0,202351611.0,465019,32392,190000000.0,7-9
47,149.0,233914986.0,514125,91434,200000000.0,7-9
48,132.0,228756232.0,395573,21411,190000000.0,4-6
49,114.0,65171860.0,106416,1766,195000000.0,7-9
50,143.0,144812796.0,362912,29770,105000000.0,4-6
51,116.0,90755643.0,222403,16149,200000000.0,7-9
