,ratingDescription,release year,user rating size,rating_G,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,user rating score,,
0,80,2004,80,0,0,0,1,0,0,0,0,0,0,0,0,82,,84.99262899
2,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
3,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
4,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,95,,
5,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
6,110,2013,80,0,0,0,0,0,0,0,1,0,0,0,0,91,,
7,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
8,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,96,,
9,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
10,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,95,,
11,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,77,,
12,90,2006,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
13,70,2008,80,0,0,0,0,0,0,0,0,1,0,0,0,96,,
16,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
17,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,81,,
18,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
19,124,2016,80,0,1,0,0,0,0,0,0,0,0,0,0,95,,
20,10,2013,80,0,0,0,0,0,0,0,0,0,1,0,0,98,,
23,124,2013,80,0,1,0,0,0,0,0,0,0,0,0,0,84,,
24,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,83,,
25,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,82,,
26,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
27,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,99,,
30,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,97,,
33,42,2016,80,0,0,0,0,0,0,0,0,0,0,0,1,62,,
36,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
39,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
41,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,98,,
42,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,98,,
44,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
51,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
52,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,80,,
53,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
54,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
55,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
56,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,90,,
57,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
58,110,2013,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
59,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
60,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,90,,
61,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
62,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,97,,
63,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,79,,
64,90,2003,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
65,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,82,,
66,90,2011,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
67,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,93,,
68,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
69,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
70,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,89,,
71,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
72,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,93,,
74,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,78,,
75,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
