rating,ratingDescription,release year,user rating score,user rating size
PG-13,80,2004,82,80
R,100,2006,NA,82
TV-14,90,2016,98,80
TV-14,90,2008,98,80
TV-PG,70,2014,94,80
TV-14,90,2016,95,80
TV-MA,110,2013,97,80
TV-14,90,2017,91,80
TV-MA,110,2015,98,80
TV-14,90,2016,96,80
TV-PG,70,2016,98,80
TV-14,90,2016,95,80
TV-14,90,2006,77,80
TV-PG,70,2008,88,80
R,100,2011,NA,82
TV-Y,10,2009,NA,82
TV-14,90,2015,96,80
TV-MA,110,2016,80,80
TV-14,90,2016,74,80
NR,124,2016,97,80
TV-Y,10,2013,81,80
TV-MA,110,2007,NA,82
NR,124,2013,NA,82
NR,124,2013,57,80
TV-MA,110,2016,95,80
TV-MA,110,2017,98,80
TV-MA,110,2016,94,80
TV-PG,70,2016,98,80
TV-14,90,2016,NA,82
TV-14,90,2016,NA,82
TV-MA,110,2016,84,80
TV-MA,110,2015,NA,82
TV-MA,110,2016,NA,82
TV-Y7-FV,42,2016,83,80
TV-14,90,2016,NA,82
R,100,2015,NA,82
TV-MA,110,2017,82,80
NR,124,2014,NA,82
UR,124,2016,NA,82
TV-MA,110,2017,94,80
TV-MA,110,2013,NA,82
TV-MA,110,2017,99,80
TV-MA,110,2017,89,80
TV-MA,110,2016,NA,82
TV-14,90,2017,92,80
TV-MA,110,2016,NA,82
NR,124,2016,NA,82
NR,124,2016,NA,82
TV-14,90,2015,NA,82
TV-MA,110,2016,NA,82
R,100,2006,NA,82
TV-14,90,2012,97,80
TV-14,90,2016,98,80
TV-14,90,2008,98,80
TV-14,90,2013,62,80
TV-14,90,2012,96,80
TV-PG,70,2014,94,80
TV-14,90,2016,95,80
TV-MA,110,2013,97,80
TV-14,90,2015,94,80
TV-PG,70,2015,92,80
TV-14,90,2017,91,80
TV-MA,110,2015,98,80
TV-14,90,2016,98,80
TV-14,90,2003,98,80
TV-14,90,2013,81,80
TV-14,90,2011,90,80
TV-MA,110,2015,98,80
TV-14,90,2016,96,80
TV-MA,110,2016,97,80
TV-14,90,2016,91,80
TV-MA,110,2016,90,80
TV-MA,110,2016,98,80
TV-14,90,2011,NA,82
TV-MA,110,2016,80,80
TV-14,90,2016,83,80
NR,124,2016,97,80
TV-MA,110,2017,98,80
TV-MA,110,2017,90,80
TV-14,90,2016,95,80
TV-MA,110,2017,80,80
TV-MA,110,2017,NA,82
TV-PG,70,2016,98,80
TV-MA,110,2016,NA,82
TV-14,90,2016,90,80
TV-MA,110,2017,96,80
PG,60,2016,97,80
R,100,2016,79,80
PG,60,2016,98,80
TV-MA,110,2017,82,80
R,100,2016,91,80
PG,60,2016,93,80
R,100,2016,97,80
TV-MA,110,2017,94,80
TV-MA,110,2017,NA,82
TV-MA,110,2017,89,80
TV-14,90,2017,92,80
TV-MA,110,2017,93,80
TV-PG,70,2016,61,80
TV-MA,110,2016,78,80
R,100,2004,NA,82
R,100,2006,NA,82
TV-MA,110,2009,NA,82
TV-14,90,2012,97,80
TV-14,90,2012,66,80
TV-14,90,2014,75,80
TV-MA,110,2016,91,80
TV-MA,110,2014,63,80
TV-14,90,2015,94,80
TV-14,90,2003,98,80
TV-MA,110,2016,97,80
TV-14,90,2016,62,80
TV-14,90,2016,91,80
TV-14,90,2012,NA,82
TV-14,90,2011,NA,82
TV-14,90,2013,92,80
TV-14,90,2016,NA,82
R,100,2014,NA,82
TV-MA,110,2017,98,80
TV-MA,110,2017,NA,82
TV-14,90,2016,NA,82
TV-MA,110,2017,90,80
TV-MA,110,2016,95,80
TV-MA,110,2017,80,80
TV-14,90,2016,74,80
TV-MA,110,2016,NA,82
TV-MA,110,2016,NA,82
TV-MA,110,2015,NA,82
TV-MA,110,2017,NA,82
TV-14,90,2017,NA,82
TV-14,90,2016,NA,82
TV-PG,70,2016,94,80
TV-14,90,2015,68,80
TV-14,90,2017,NA,82
TV-MA,110,2016,NA,82
TV-MA,110,2017,82,80
TV-14,90,2016,NA,82
TV-PG,70,2016,NA,82
TV-MA,110,2017,94,80
TV-MA,110,2017,NA,82
TV-MA,110,2017,NA,82
TV-MA,110,2017,99,80
TV-14,90,2017,92,80
TV-MA,110,2017,93,80
TV-MA,110,2017,NA,82
TV-PG,70,2015,NA,82
TV-MA,110,2017,NA,82
TV-MA,110,2017,71,80
TV-MA,110,2017,94,80
NR,124,2016,NA,82
R,100,2001,NA,82
TV-MA,110,2013,NA,82
TV-14,90,2012,88,80
TV-14,90,2012,59,80
TV-14,90,2012,NA,82
TV-14,90,2013,73,80
TV-14,90,2010,NA,82
TV-MA,110,2016,98,80
TV-MA,110,2014,63,80
TV-14,90,2016,83,80
TV-MA,110,2016,NA,82
TV-14,90,2016,NA,82
TV-14,90,2016,NA,82
TV-MA,110,2017,90,80
TV-14,90,2016,NA,82
TV-MA,110,2017,80,80
TV-MA,110,2017,NA,82
TV-14,90,2016,86,80
TV-14,90,2016,91,80
TV-14,90,2016,74,80
R,100,2015,79,80
TV-MA,110,2016,NA,82
TV-14,90,2016,69,80
TV-14,90,2016,NA,82
TV-PG,70,2016,94,80
TV-14,90,2015,NA,82
TV-14,90,2015,68,80
TV-14,90,2017,NA,82
TV-MA,110,2016,NA,82
TV-14,90,2016,58,80
PG,60,2016,96,80
TV-MA,110,2017,NA,82
TV-MA,110,2016,NA,82
TV-MA,110,2016,NA,82
PG,60,2016,NA,81
TV-14,90,2016,61,80
TV-14,90,2017,NA,82
TV-MA,110,2017,94,80
TV-MA,110,2017,NA,82
TV-MA,110,2017,99,80
TV-MA,110,2016,NA,82
NR,124,2014,NA,82
TV-14,90,2016,62,80
TV-MA,110,2016,NA,82
NR,124,2016,NA,82
TV-14,90,2016,NA,82
TV-MA,110,2017,94,80
TV-MA,110,2016,78,80
TV-MA,110,2016,NA,82
NR,124,2016,NA,82
PG,60,2007,NA,82
TV-14,90,2012,66,80
TV-MA,110,2015,82,80
TV-14,90,2015,94,80
TV-PG,70,2014,NA,82
TV-14,90,2006,91,80
TV-14,90,2014,79,80
TV-PG,70,2010,55,80
TV-14,90,2016,62,80
TV-14,90,2016,91,80
TV-14,90,2012,NA,82
TV-14,90,2013,73,80
TV-14,90,2014,58,80
TV-14,90,2011,NA,82
TV-14,90,2013,NA,82
TV-14,90,2016,80,80
TV-14,90,2016,NA,82
R,100,2014,NA,82
R,100,2014,NA,82
TV-MA,110,2017,NA,82
TV-MA,110,2017,90,80
TV-14,90,2016,NA,82
