,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,country_USA,content_rating_Approved,content_rating_G,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_Unrated,content_rating_X
1,302,169,563,1000,40000,309404152,471220,48350,1238,300000000,5000,7.1,1,0,0,0,0,0,0,1,0,0,0,0
3,813,164,22000,23000,27000,448130642,1144337,106759,2701,250000000,23000,8.5,1,0,0,0,0,0,0,1,0,0,0,0
5,462,132,475,530,640,73058679,212204,1873,738,263700000,632,6.6,1,0,0,0,0,0,0,1,0,0,0,0
6,392,156,0,4000,24000,336530303,383056,46055,1902,258000000,11000,6.2,1,0,0,0,0,0,0,1,0,0,0,0
7,324,100,15,284,799,200807262,294810,2036,387,260000000,553,7.8,1,0,0,0,0,0,1,0,0,0,0,0
8,635,141,0,19000,26000,458991599,462669,92000,1117,250000000,21000,7.5,1,0,0,0,0,0,0,1,0,0,0,0
10,673,183,0,2000,15000,330249062,371639,24450,3018,250000000,4000,6.9,1,0,0,0,0,0,0,1,0,0,0,0
11,434,169,0,903,18000,200069408,240396,29991,2367,209000000,10000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
13,313,151,563,1000,40000,423032628,522040,48486,1832,225000000,5000,7.3,1,0,0,0,0,0,0,1,0,0,0,0
14,450,150,563,1000,40000,89289910,181792,45757,711,215000000,2000,6.5,1,0,0,0,0,0,0,1,0,0,0,0
15,733,143,0,748,15000,291021565,548573,20495,2536,225000000,3000,7.2,1,0,0,0,0,0,0,1,0,0,0,0
16,258,150,80,201,22000,141614023,149922,22697,438,225000000,216,6.6,1,0,0,0,0,0,1,0,0,0,0,0
17,703,173,0,19000,26000,623279547,995415,87697,1722,220000000,21000,8.1,1,0,0,0,0,0,0,1,0,0,0,0
18,448,136,252,1000,40000,241063875,370704,54083,484,250000000,11000,6.7,1,0,0,0,0,0,0,1,0,0,0,0
19,451,106,188,718,10000,179020854,268154,12572,341,225000000,816,6.8,1,0,0,0,0,0,0,1,0,0,0,0
21,599,153,464,963,15000,262030663,451803,28489,1225,230000000,10000,7,1,0,0,0,0,0,0,1,0,0,0,0
22,343,156,0,738,891,105219735,211765,3244,546,200000000,882,6.7,1,0,0,0,0,0,0,1,0,0,0,0
23,509,186,0,773,5000,258355354,483540,9152,951,225000000,972,7.9,1,0,0,0,0,0,0,1,0,0,0,0
24,251,113,129,1000,16000,70083519,149019,24106,666,180000000,6000,6.1,1,0,0,0,0,0,0,1,0,0,0,0
26,315,194,0,794,29000,658672302,793059,45223,2528,200000000,14000,7.7,1,0,0,0,0,0,0,1,0,0,0,0
27,516,147,94,11000,21000,407197282,272670,64798,1022,250000000,19000,8.2,1,0,0,0,0,0,0,1,0,0,0,0
28,377,131,532,627,14000,65173160,202382,26679,751,209000000,10000,5.9,1,0,0,0,0,0,0,1,0,0,0,0
29,644,124,365,1000,3000,652177271,418214,8458,1290,150000000,2000,7,1,0,0,0,0,0,0,1,0,0,0,0
31,300,135,0,4000,24000,373377893,411164,43388,1303,200000000,11000,7.3,1,0,0,0,0,0,0,1,0,0,0,0
32,608,195,1000,3000,21000,408992272,557489,30426,1187,200000000,4000,7.2,1,0,0,0,0,0,0,1,0,0,0,0
33,451,108,13000,11000,40000,334185206,306320,79957,736,200000000,25000,6.5,1,0,0,0,0,0,1,0,0,0,0,0
35,376,104,37,760,12000,268488329,235025,14863,265,200000000,779,7.3,1,0,1,0,0,0,0,0,0,0,0,0
36,366,150,0,464,894,402076689,323207,3218,1439,200000000,581,6,1,0,0,0,0,0,0,1,0,0,0,0
37,378,165,0,808,974,245428137,242420,3988,918,210000000,956,5.7,1,0,0,0,0,0,0,1,0,0,0,0
38,525,130,0,11000,44000,234903076,175409,73441,511,215000000,15000,6.4,1,0,0,0,0,0,1,0,0,0,0,0
39,495,142,464,825,15000,202853933,321227,28631,1067,200000000,10000,6.7,1,0,0,0,0,0,0,1,0,0,0,0
40,469,125,364,1000,12000,172051787,264183,25550,665,170000000,10000,6.8,1,0,0,0,0,0,1,0,0,0,0,0
41,304,106,487,776,1000,191450875,101178,4482,283,200000000,919,6.3,1,0,1,0,0,0,0,0,0,0,0,0
42,436,123,258,326,16000,116593191,223393,17657,550,200000000,368,5.6,1,0,0,0,0,0,0,1,0,0,0,0
43,453,103,125,721,15000,414984497,544884,19085,733,200000000,1000,8.3,1,0,1,0,0,0,0,0,0,0,0,0
44,422,118,368,988,23000,125320003,286095,27468,974,200000000,3000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
45,424,140,0,14000,26000,350034110,278232,79150,657,190000000,23000,7.2,1,0,0,0,0,0,0,1,0,0,0,0
46,654,123,395,1000,17000,202351611,465019,32392,995,190000000,11000,7,1,0,0,0,0,0,0,1,0,0,0,0
47,539,149,0,20000,34000,233914986,514125,91434,752,200000000,22000,8,1,0,0,0,0,0,0,1,0,0,0,0
48,590,132,14000,928,19000,228756232,395573,21411,1171,190000000,981,7.8,1,0,0,0,0,0,0,1,0,0,0,0
49,338,114,0,140,979,65171860,106416,1766,205,195000000,557,6.3,1,0,0,0,0,0,0,1,0,0,0,0
51,306,116,179,236,15000,90755643,222403,16149,453,200000000,567,6.6,1,0,0,0,0,0,0,1,0,0,0,0
52,575,131,0,919,16000,101785482,381148,19166,1106,190000000,968,7,1,0,0,0,0,0,0,1,0,0,0,0
53,428,154,0,581,894,352358779,326180,2593,899,195000000,829,6.3,1,0,0,0,0,0,0,1,0,0,0,0
54,470,122,14000,1000,11000,317011114,333847,14959,2054,185000000,1000,6.2,1,0,0,0,0,0,0,1,0,0,0,0
56,488,93,56,838,2000,237282182,273556,5005,428,185000000,1000,7.2,1,0,0,0,0,0,1,0,0,0,0,0
57,322,122,681,105,998,130468626,53607,1327,432,185000000,119,7.5,1,0,0,0,0,0,0,1,0,0,0,0
58,421,98,475,522,1000,223806889,718837,2975,1043,180000000,729,8.4,1,0,1,0,0,0,0,0,0,0,0,0
59,162,91,420,173,268,140080850,121084,1125,221,140000000,268,6.2,1,0,0,0,0,0,0,1,0,0,0,0
60,367,158,776,310,1000,166112167,283418,2144,1055,200000000,468,5.8,1,0,0,0,0,0,0,1,0,0,0,0
61,240,96,0,10000,18000,137850096,72809,48878,249,200000000,14000,6.8,1,0,0,0,0,0,1,0,0,0,0,0
62,384,127,0,13000,17000,47375327,139593,47334,720,176000000,15000,5.4,1,0,0,0,0,0,0,1,0,0,0,0
63,248,110,282,103,11000,124051759,42372,21175,239,180000000,10000,6.6,1,0,0,0,0,0,0,1,0,0,0,0
64,284,150,80,82,1000,291709845,286506,1317,1463,180000000,190,6.9,1,0,0,0,0,0,1,0,0,0,0,0
65,396,144,0,1000,34000,154985087,148379,49684,622,178000000,13000,7.3,1,0,0,0,0,0,0,1,0,0,0,0
